status,issue,best
Satisfactory,validation-273,0
Satisfactory,validation-233,0
Satisfactory,validation-225,0
Satisfactory,validation-158,0
Satisfactory,validation-140,0
Satisfactory,validation-139,0
Satisfactory,validation-127,0
Satisfactory,validation-7,0
Satisfactory,findings-34,0
Satisfactory,findings-19,0
Satisfactory,findings-7,0
Satisfactory,validation-19,0
Unsatisfactory,validation-215,0
Unsatisfactory,validation-180,0
Unsatisfactory,validation-176,0
Unsatisfactory,validation-161,0
Unsatisfactory,validation-154,0
Unsatisfactory,validation-153,0
Unsatisfactory,validation-146,0
Unsatisfactory,validation-119,0
Unsatisfactory,validation-87,0
Unsatisfactory,validation-70,0
Unsatisfactory,validation-44,0
Unsatisfactory,validation-39,0
Unsatisfactory,validation-37,0
Unsatisfactory,validation-36,0
Unsatisfactory,validation-35,0
Unsatisfactory,validation-25,0
Unsatisfactory,validation-23,0
Unsatisfactory,validation-6,0
Unsatisfactory,validation-5,0
Unsatisfactory,validation-3,0
Unsatisfactory,validation-2,0
Unsatisfactory,validation-279,0
Unsatisfactory,validation-271,0
Unsatisfactory,validation-174,0
Unsatisfactory,validation-124,0
Unsatisfactory,validation-99,0
Unsatisfactory,validation-17,0
