issue,title,validator comment,grade,size,Best
validation-273,QA Report,,Satisfactory,1,
validation-233,QA Report,,Satisfactory,1,★✰✰
validation-225,QA Report,,Satisfactory,1,★★✰
validation-215,QA Report,,Unsatisfactory,1,
validation-180,QA Report,,Unsatisfactory,1,
validation-176,QA Report,,Unsatisfactory,1,
validation-161,QA Report,,Unsatisfactory,1,
validation-158,QA Report,,Satisfactory,1,
validation-154,QA Report,,Unsatisfactory,1,
validation-153,QA Report,,Unsatisfactory,1,
validation-146,QA Report,,Unsatisfactory,1,
validation-140,Gas Optimizations,,Satisfactory,1,★★★
validation-139,QA Report,,Satisfactory,1,
validation-127,QA Report,,Satisfactory,1,
validation-119,QA Report,,Satisfactory,1,
validation-87,QA Report,,Unsatisfactory,1,
validation-70,QA Report,,Unsatisfactory,1,
validation-44,QA Report,,Unsatisfactory,1,
validation-39,QA Report,,Unsatisfactory,1,
validation-37,QA Report,,Satisfactory,1,
validation-36,QA Report,,Unsatisfactory,1,
validation-35,Gas Optimizations,,Unsatisfactory,1,
validation-25,Gas Optimizations,,Satisfactory,1,
validation-23,Gas Optimizations,,Satisfactory,1,
validation-7,QA Report,,Satisfactory,1,
validation-6,QA Report,,Satisfactory,1,
validation-5,QA Report,,Satisfactory,1,
validation-3,QA Report,,Unsatisfactory,1,
validation-2,Gas Optimizations,,Satisfactory,1,
findings-34,QA Report,,Satisfactory,1,★★✰
findings-19,QA Report,,Satisfactory,1,
findings-7,QA Report,,Satisfactory,1,
validation-279,QA Report,,,5,
validation-271,QA Report,,Unsatisfactory,0,
validation-174,QA Report,,Unsatisfactory,1,
validation-124,Gas Optimizations,,Unsatisfactory,1,
validation-99,QA Report,,Unsatisfactory,1,
validation-19,QA Report,"8 🚨dup of validation-175 +1
14 🚨 simiilar to validation-260 +1
20 invalid 🚨 dup of validation-281 0",Satisfactory,8.5,
validation-17,QA Report,,Unsatisfactory,1,
